"","MonthYear","SumNonFed","NonFedLaughter","NonFedAttend","SumFedHouse","FedLaughterHouse","FedAttend","FedLetter","CPIAUCNS","PCEPI","INTDSRUSM193N","DFF","FEDFUNDS","GDPDEF","GDPC96","U6RATE","SPCS10RSA","CPIAUCNSPercent","PCEPIPercent","GDPC96Percent","CaseShillerChange","UnemploymentRateChange","NonFedLetter"
"1",1997-05-01,5,0,23,1,0,29,0,160.1,79.168,5,5.73,5.5,77.857,10984.15,8.8,79.53,2.18613366645846,1.66102465642685,4.14024753849864,2.59021752797687,-10.2272727272727,NA
"2",1997-06-01,2,2,28,0,0,0,0,160.3,79.267,5,5.58,5.56,77.857,10984.15,8.8,79.91,2.24578914535248,1.78384447500221,4.14024753849864,3.05343511450381,-9.09090909090908,0
"3",1997-07-01,3,3.66666666666667,19,3,2,19.6666666666667,0,160.5,79.311,5,6.24,5.52,78.135,11124.013,8.6,80.22,2.18068535825545,1.62903002105635,4.46992465758536,3.37820992271253,-12.7906976744186,NA
"4",1997-08-01,0,0,0,0,0,0,0,160.8,79.375,5,5.65,5.54,78.135,11124.013,8.6,80.61,2.17661691542289,1.61259842519685,4.46992465758536,3.72162262746557,-8.13953488372094,0
"5",1997-09-01,2,0,24.5,0,0,0,0,161.2,79.556,5,5.52,5.54,78.135,11124.013,8.7,80.91,2.10918114143919,1.56744934385841,4.46992465758536,3.90557409467309,-8.04597701149427,0
"6",1997-10-01,0,0,0,0,0,0,0,161.6,79.658,5,5.65,5.5,78.395,11210.329,8.4,81.42,2.04207920792078,1.39973386226116,4.20390873452509,4.26185212478506,-11.9047619047619,0
"7",1997-11-01,1,0,28,1,0,28,0,161.5,79.669,5,5.56,5.52,78.395,11210.329,8.3,81.96,1.79566563467493,1.23134468864928,4.20390873452509,4.61200585651536,-12.0481927710843,NA
"8",1997-12-01,0,0,0,0,0,0,0,161.3,79.656,5,5.92,5.5,78.395,11210.329,8.4,82.59,1.67389956602605,1.10098423219847,4.20390873452509,5.09746942729145,-13.0952380952381,0
"9",1998-01-01,1,0,22,1,0,22,0,161.6,79.687,5,5.84,5.56,78.523,11321.246,8.4,83.26,1.5470297029703,1.0127122366258,4.41946054347728,5.63295700216192,-11.9047619047619,NA
"10",1998-02-01,4,3.5,17.25,0,0,0,0,161.9,79.637,5,5.48,5.51,78.523,11321.246,8.4,83.97,1.42063001852996,0.74462875296659,4.41946054347728,6.25223294033584,-11.9047619047619,0
"11",1998-03-01,2,8.5,26,0,0,0,0,162.2,79.644,5,5.57,5.49,78.523,11321.246,8.4,84.62,1.35635018495684,0.651649841795999,4.41946054347728,6.6532734578114,-8.33333333333333,0
"12",1998-04-01,2,0,28.5,1,0,35,0,162.5,79.745,5,5.72,5.45,78.687,11431.046,7.9,85.19,1.41538461538462,0.68468242523043,3.90949349692058,6.97264937199202,-16.4556962025316,NA
"13",1998-05-01,0,0,0,0,0,0,0,162.8,79.857,5,5.46,5.49,78.687,11431.046,7.9,85.86,1.65847665847667,0.862792241131013,3.90949349692058,7.37246680642907,-11.3924050632911,0
"14",1998-06-01,3,1,21.3333333333333,1,0,25,0,163,79.792,5,5.79,5.56,78.687,11431.046,8,86.63,1.6564417177914,0.657960697814324,3.90949349692058,7.75712801569895,-10,NA
"15",1998-07-01,4,0,17.25,1,0,22,0,163.2,79.984,5,6.35,5.54,78.981,11580.587,8.1,87.43,1.65441176470588,0.841418283656716,3.94258080354648,8.24659727782227,-6.17283950617284,NA
"16",1998-08-01,0,0,0,0,0,0,0,163.4,80.093,5,5.63,5.55,78.981,11580.587,7.9,88.14,1.59118727050183,0.89645786772877,3.94258080354648,8.54322668481961,-8.86075949367088,0
"17",1998-09-01,3,0,7.33333333333333,1,0,6,0,163.6,80.043,5,5.75,5.51,78.981,11580.587,7.9,88.85,1.46699266503668,0.608422972652211,3.94258080354648,8.93640967923466,-10.126582278481,NA
"18",1998-10-01,1,0,15,2,0,15,0,164,80.214,4.86,5.73,5.07,79.228,11770.686,7.8,89.35,1.46341463414634,0.693145834891662,4.76061463197642,8.87520984890878,-7.6923076923077,NA
"19",1998-11-01,1,2,11,0,0,0,0,164,80.216,4.63,5.35,4.83,79.228,11770.686,7.6,89.73,1.52439024390244,0.681908846115485,4.76061463197642,8.65931126713475,-9.21052631578949,0
"20",1998-12-01,0,0,0,0,0,0,0,163.9,80.301,4.5,4.82,4.68,79.228,11770.686,7.6,90.14,1.58633312995729,0.803227855194824,4.76061463197642,8.37585977368538,-10.5263157894737,0
"21",1999-01-01,0,0,0,0,0,0,0,164.3,80.448,4.5,4.07,4.63,79.624,11864.675,7.7,90.71,1.64333536214243,0.945952665075571,4.58022659702015,8.21298644030425,-9.09090909090909,0
"22",1999-02-01,4,5.75,33.5,1,23,40,0,164.5,80.428,4.5,4.86,4.76,79.624,11864.675,7.7,91.44,1.580547112462,0.983488337394933,4.58022659702015,8.16929133858268,-9.09090909090909,NA
"23",1999-03-01,0,0,0,0,0,0,0,165,80.483,4.5,5.1,4.81,79.624,11864.675,7.6,92.13,1.6969696969697,1.04245617086838,4.58022659702015,8.15152501899489,-10.5263157894737,0
"24",1999-04-01,2,1,18,0,0,0,0,166.2,80.855,4.5,5.41,4.74,79.891,11962.524,7.6,93.05,2.22623345367027,1.37282790179952,4.44285838005424,8.44707146695325,-3.94736842105264,0
"25",1999-05-01,4,1.25,23.75,2,0,27,0,166.2,80.888,4.5,5.03,4.74,79.891,11962.524,7.4,93.75,2.04572803850781,1.27460191870241,4.44285838005424,8.416,-6.75675675675676,NA
"26",1999-06-01,2,0,22.5,0,0,0,0,166.2,80.905,4.5,4.78,4.76,79.891,11962.524,7.5,94.65,1.92539109506618,1.37568753476299,4.44285838005424,8.47332276809298,-6.66666666666667,0
"27",1999-07-01,2,0,27.5,1,0,38,0,166.7,81.119,4.5,5.76,4.99,80.18,12113.075,7.5,95.5,2.0995800839832,1.39917898396184,4.39597707435974,8.45026178010471,-7.99999999999999,NA
"28",1999-08-01,0,0,0,0,0,0,0,167.1,81.262,4.56,5.07,5.07,80.18,12113.075,7.3,96.38,2.21424296828246,1.43855676700056,4.39597707435974,8.54949159576675,-8.21917808219179,0
"29",1999-09-01,3,0,25.3333333333333,0,0,0,0,167.9,81.546,4.75,5.41,5.22,80.18,12113.075,7.4,97.2,2.56104824300179,1.84313148407034,4.39597707435974,8.59053497942388,-6.75675675675676,0
"30",1999-10-01,0,0,0,0,0,0,0,168.2,81.676,4.75,5.26,5.2,80.547,12323.336,7.2,97.98,2.49702734839476,1.78999951026006,4.4845811231634,8.80791998367015,-8.33333333333333,0
"31",1999-11-01,0,0,0,0,0,0,0,168.3,81.749,4.86,5.38,5.42,80.547,12323.336,7.1,98.89,2.5549613784908,1.87525229666418,4.4845811231634,9.26281727171605,-7.04225352112676,0
"32",1999-12-01,0,0,0,0,0,0,0,168.3,81.951,5,5.71,5.3,80.547,12323.336,7.1,99.87,2.61437908496732,2.01339825017387,4.4845811231634,9.74266546510464,-7.04225352112676,0
"33",2000-01-01,0,0,0,0,0,0,0,168.8,82.185,5,3.99,5.45,81.163,12359.095,7.1,100.75,2.66587677725118,2.11352436576019,4.00045472585169,9.96526054590571,-8.45070422535212,0
"34",2000-02-01,4,0,17,2,0,21,0,169.8,82.444,5.24,5.79,5.73,81.163,12359.095,7.2,101.89,3.12131919905772,2.44529620105769,4.00045472585169,10.2561586024144,-6.94444444444444,NA
